Grade,Race,SPED,Q3_Raw_Score,Q3_%Corr,Q3_Met_Level
6,H,Y,6,15,Not Met
6,H,Y,6,15,Not Met
7,W,,7,15,Not Met
7,H,,7,15,Not Met
7,H,Y,7,15,Not Met
7,W,,8,17,Not Met
7,H,,8,17,Not Met
7,H,,8,17,Not Met
7,H,,8,17,Not Met
7,H,Y,8,17,Not Met
8,H,,8,17,Not Met
6,H,,7,18,Not Met
8,H,,9,19,Not Met
8,H,,9,19,Not Met
8,H,,9,19,Not Met
8,B,Y,9,19,Not Met
6,H,,8,20,Not Met
6,H,,8,20,Not Met
6,B,Y,8,20,Not Met
7,H,,9,20,Not Met
7,H,,9,20,Not Met
7,H,,9,20,Not Met
7,B,,9,20,Not Met
7,B,,9,20,Not Met
7,H,,9,20,Not Met
7,B,,9,20,Not Met
7,H,,9,20,Not Met
7,H,Y,9,20,Not Met
7,H,Y,9,20,Not Met
7,H,Y,9,20,Not Met
8,H,,10,21,Not Met
8,H,,10,21,Not Met
8,B,,10,21,Not Met
8,H,Y,10,21,Not Met
8,H,Y,10,21,Not Met
7,H,,10,22,Not Met
7,H,,10,22,Not Met
7,H,,10,22,Not Met
7,H,,10,22,Not Met
7,B,,10,22,Not Met
7,H,,10,22,Not Met
7,W,,10,22,Not Met
7,H,,10,22,Not Met
7,B,Y,10,22,Not Met
7,H,Y,10,22,Not Met
7,B,Y,10,22,Not Met
7,H,Y,10,22,Not Met
6,H,,9,23,Not Met
6,B,,9,23,Not Met
6,H,,9,23,Not Met
6,H,,9,23,Not Met
6,H,Y,9,23,Not Met
6,W,Y,9,23,Not Met
8,W,,11,23,Not Met
8,B,Y,11,23,Not Met
8,H,Y,11,23,Not Met
8,H,Y,11,23,Not Met
8,B,Y,11,23,Not Met
7,B,,11,24,Not Met
7,B,Y,11,24,Not Met
7,H,,11,24,Not Met
7,H,,11,24,Not Met
7,H,,11,24,Not Met
7,B,,11,24,Not Met
7,H,,11,24,Not Met
7,H,,11,24,Not Met
7,W,,11,24,Not Met
7,H,,11,24,Not Met
7,H,,11,24,Not Met
7,H,,11,24,Not Met
7,B,,11,24,Not Met
7,H,,11,24,Not Met
7,B,,11,24,Not Met
7,B,,11,24,Not Met
7,H,,11,24,Not Met
7,H,,11,24,Not Met
7,H,,11,24,Not Met
7,H,,11,24,Not Met
7,H,Y,11,24,Not Met
7,H,Y,11,24,Not Met
6,H,,10,25,Not Met
6,B,,10,25,Not Met
6,H,,10,25,Not Met
8,H,,12,25,Not Met
8,H,,12,25,Not Met
8,H,,12,25,Not Met
8,H,,12,25,Not Met
8,H,Y,12,25,Not Met
8,H,Y,12,25,Not Met
7,H,,12,26,Not Met
7,H,,12,26,Not Met
7,W,,12,26,Not Met
7,H,,12,26,Not Met
7,H,,12,26,Not Met
7,B,,12,26,Not Met
7,H,,12,26,Not Met
7,H,,12,26,Not Met
